stationname,latitude,longitude
39 St & 2 Ave - Citi Bike HQ at Industry City,40.6554,-74.0106
Industry City  Building 1 Basement,40.6559,-74.0084
2 Ave & 36 St - Citi Bike HQ at Industry City,40.6571,-74.0087
West Drive & Prospect Park West,40.6611,-73.9795
14 St & 7 Ave,40.6638,-73.984
Prospect Park West & 8 St,40.6651,-73.9764
10 St & 7 Ave,40.6662,-73.982
6 Ave & 12 St,40.6663,-73.9855
14 St & 5 Ave,40.6663,-73.989
6 Ave & 9 St,40.6681,-73.9838
3 St & Prospect Park West,40.6681,-73.9736
3 Ave & 14 St,40.6685,-73.9933
12 St & 4 Ave,40.6686,-73.9904
10 St & 5 Ave,40.6686,-73.987
6 St & 7 Ave,40.6687,-73.9799
NYCBS Depot - GOW Annex,40.6689,-73.9948
NYCBS Depot - GOW,40.6691,-73.9946
Expansion Tech Station,40.6698,-73.9949
Gowanus Tech Station,40.6698,-73.9949
GOW Tech Shop,40.6698,-73.995
3 St & 7 Ave,40.6704,-73.9784
4 Ave & 9 St,40.6705,-73.9888
5 St & 6 Ave,40.6705,-73.9821
7 St & 5 Ave,40.6705,-73.9854
Garfield Pl & 8 Ave,40.6712,-73.9748
2 Ave & 9 St,40.6725,-73.9933
Henry St & Bay St,40.6725,-74.0049
7 St & 3 Ave,40.6726,-73.9898
Sigourney St & Columbia St,40.6727,-74.0088
5 Ave & 3 St,40.6728,-73.9835
Grand Army Plaza & Plaza St West,40.673,-73.9709
Dwight St & Van Dyke St,40.6736,-74.012
Carroll St & 6 Ave,40.6741,-73.9787
Clinton St & Centre St,40.6743,-74.0019
4 Ave & 2 St,40.6746,-73.985
Columbia St & Lorraine St,40.6747,-74.0076
Smith St & 9 St,40.6747,-73.9979
Reed St & Van Brunt St,40.6748,-74.0161
Plaza St West & Flatbush Ave,40.675,-73.9711
Berkeley Pl & 7 Ave,40.6751,-73.9752
3 St & 3 Ave,40.6751,-73.9878
Carroll St & 5 Ave,40.6752,-73.9815
Wolcott St & Dwight St,40.6753,-74.0101
Court St & Nelson St,40.6764,-73.9987
Henry St & W 9 St,40.6764,-74.0032
Berkeley Pl & 6 Ave,40.6765,-73.9785
Columbia St & W 9 St,40.677,-74.0065
Coffey St & Conover St,40.6772,-74.0157
Union St & 4 Ave,40.6773,-73.9828
Van Brunt St & Wolcott St,40.6773,-74.0128
7 Ave & Park Pl,40.6776,-73.9732
3 St & Hoyt St,40.6777,-73.9936
Pioneer St & Richards St,40.6778,-74.0095
Clinton St & 4 Place,40.6784,-74.0001
Carroll St & Bond St,40.6786,-73.9904
Smith St & 3 St,40.6787,-73.996
Kingston Ave & Herkimer St,40.6789,-73.9414
Pioneer St & Van Brunt St,40.679,-74.0112
Union St & Nevins St,40.6791,-73.9877
Prospect Pl & 6 Ave,40.6793,-73.9752
Douglass St & 4 Ave,40.6793,-73.9815
Richards St & Delavan St,40.6794,-74.0079
Fulton St & Utica Ave,40.6794,-73.9299
Baltic St & 5 Ave,40.6796,-73.9785
Albany Ave & Fulton St,40.68,-73.9385
Douglass St & 3 Ave,40.6802,-73.9843
Lefferts Pl & Franklin Ave,40.6803,-73.9558
Verona Pl & Fulton St,40.6804,-73.9477
Carroll St & Smith St,40.6806,-73.9948
Bergen St & Flatbush Ave,40.6809,-73.9757
Macon St & Nostrand Ave,40.681,-73.95
1 Pl & Clinton St,40.681,-73.9991
Commerce St & Van Brunt St,40.6812,-74.0086
Lewis Ave & Decatur St,40.6815,-73.9349
