stationname,latitude,longitude
Broadway & W 37 St,40.7517,-73.9875
Henry St & Degraw St,40.6848,-73.9992
Clinton Ave & Flushing Ave,40.6979,-73.9699
W 49 St & 8 Ave,40.7623,-73.9879
W 20 St & 7 Ave,40.7424,-73.9973
Leonard St & Meeker Ave,40.7173,-73.9482
Broadway & Roebling St,40.7093,-73.9598
5 Ave & E 93 St,40.7858,-73.9575
Great Jones St,40.7274,-73.9938
7 St & 3 Ave,40.6726,-73.9898
4 Ave & 9 St,40.6705,-73.9888
Bedford Ave & Nassau Ave,40.7231,-73.9521
Carroll St & 5 Ave,40.6752,-73.9815
Montrose Ave & Bushwick Ave,40.7077,-73.9402
S 5 Pl & S 4 St,40.7105,-73.9609
Greenwich St & W Houston St,40.7288,-74.0086
Grand St & Elizabeth St,40.7188,-73.996
S 4 St & Wythe Ave,40.7129,-73.9659
N Henry St & Richardson St,40.7192,-73.9424
Hudson St & Reade St,40.7163,-74.0091
E 102 St & Park Ave,40.7905,-73.9503
10 St & 7 Ave,40.6662,-73.982
E 12 St & 3 Ave,40.7322,-73.9889
Lefferts Pl & Franklin Ave,40.6803,-73.9558
Madison Ave & E 99 St,40.7895,-73.9524
Pier 40 - Hudson River Park,40.7277,-74.0113
W 44 St & 5 Ave,40.755,-73.9801
1 Ave & E 18 St,40.7338,-73.9805
Lexington Ave & E 63 St,40.7644,-73.9665
Greenwich St & Warren St,40.7154,-74.0112
W 104 St & Amsterdam Ave,40.799,-73.9662
Greenpoint Ave & Manhattan Ave,40.7303,-73.9539
12 St & 4 Ave,40.6686,-73.9904
Allen St & E Houston St,40.7221,-73.9891
Little West St & 1 Pl,40.7057,-74.0168
E 103 St & Lexington Ave,40.7903,-73.9476
Grand St & Greene St,40.7217,-74.0023
Washington Pl & Broadway,40.729,-73.994
E 20 St & 2 Ave,40.7359,-73.9821
W 87 St  & Amsterdam Ave,40.7884,-73.9747
E 27 St & 1 Ave,40.7394,-73.9768
Washington Pl & 6 Ave,40.7322,-74.0003
Cadman Plaza E & Red Cross Pl,40.6999,-73.9897
Marin Light Rail,40.7148,-74.043
Franklin St & W Broadway,40.7191,-74.0067
S 4 St & Rodney St,40.7093,-73.9561
5 Ave & E 103 St,40.7923,-73.9525
E 3 St & 1 Ave,40.7247,-73.9878
Coffey St & Conover St,40.6772,-74.0157
Washington Ave & Greene Ave,40.6865,-73.9656
Division Ave & Marcy Ave,40.7071,-73.958
William St & Pine St,40.7072,-74.0089
47 Ave & 31 St,40.743,-73.9356
N 15 St & Wythe Ave,40.7241,-73.9557
W 34 St & 11 Ave,40.7559,-74.0021
8 Ave & W 52 St,40.7637,-73.9852
Railroad Ave & Kay Ave,40.7053,-73.971
Union St,40.7182,-74.0836
NYCBS Depot - STY,40.7292,-73.9767
5 Corners Library,40.735,-74.0595
Hancock St & Bedford Ave,40.6822,-73.954
9 Ave & W 18 St,40.7432,-74.0037
Roebling St & N 4 St,40.7147,-73.9574
Henry St & Poplar St,40.7005,-73.9915
India St & Manhattan Ave,40.7323,-73.9551
Plaza St West & Flatbush Ave,40.675,-73.9711
Verona Pl & Fulton St,40.6804,-73.9477
Court St & Nelson St,40.6764,-73.9987
Forsyth St & Broome St,40.7189,-73.9927
W 52 St & 9 Ave,40.7646,-73.9879
Lafayette Ave & Fort Greene Pl,40.6869,-73.9767
Broadway & Battery Pl,40.7046,-74.0136
E 11 St & 1 Ave,40.7295,-73.9843
Broadway & W 55 St,40.7653,-73.9819
6 Ave & 9 St,40.6681,-73.9838
Central Park West & W 72 St,40.7758,-73.9762
Bergen St & Smith St,40.6867,-73.9906
Clermont Ave & Park Ave,40.6957,-73.9713
5 Ave & E 88 St,40.7831,-73.9594
E 41 St & Madison Ave,40.7522,-73.9799
E 35 St & 3 Ave,40.7465,-73.9779
Leonard St & Bayard St,40.7193,-73.9486
St James Pl & Pearl St,40.7112,-74.0002
Adelphi St & Myrtle Ave,40.6931,-73.9718
Reade St & Broadway,40.7145,-74.0056
Sands St & Navy St,40.6998,-73.9799
9 Ave & W 45 St,40.7602,-73.9913
Dean St & 4 Ave,40.6831,-73.979
Bialystoker Pl & Delancey St,40.7162,-73.9826
NYCBS Depot - PIT,40.7169,-73.9838
W 16 St & The High Line,40.7433,-74.0068
6 Ave & 12 St,40.6663,-73.9855
1 Ave & E 30 St,40.7414,-73.9754
Columbia St & Degraw St,40.6859,-74.0024
W 84 St & Columbus Ave,40.785,-73.9728
Humboldt St & Varet St,40.7032,-73.9406
Graham Ave & Withers St,40.717,-73.9449
W 13 St & 7 Ave,40.7378,-73.9999
Lawrence St & Willoughby St,40.6924,-73.9863
Hanson Pl & St Felix St,40.6852,-73.9771
E 48 St & 5 Ave,40.7572,-73.9781
Watts St & Greenwich St,40.7241,-74.0097
E 40 St & 5 Ave,40.7521,-73.9816
E 97 St & 3 Ave,40.7859,-73.9486
3 Ave & 14 St,40.6685,-73.9933
Carlton Ave & Park Ave,40.6958,-73.9736
E 85 St & York Ave,40.7754,-73.948
Bond St & Fulton St,40.6896,-73.983
McKibbin St & Manhattan Ave,40.7051,-73.9441
Clinton St & 4 Place,40.6784,-74.0001
Grove St PATH,40.7193,-74.0425
Berkeley Pl & 6 Ave,40.6765,-73.9785
Duane St & Greenwich St,40.7175,-74.0105
Henry St & W 9 St,40.6764,-74.0032
6 St & 7 Ave,40.6687,-73.9799
Pearl St & Hanover Square,40.7047,-74.0093
Hope St & Union Ave,40.7117,-73.9514
Broadway & W 36 St,40.751,-73.9877
E 68 St & Madison Ave,40.7692,-73.967
Broadway & W 51 St,40.7623,-73.9834
