id,activity,position,temperature,walking,state
1,76,0,38.13,0,N
2,69,0,38.08,0,N
3,52,0,38.17,0,N
4,52,0,38.17,0,N
5,48,0,38.17,0,N
6,36,1,38.13,0,N
7,53,1,38.13,0,N
8,16,0,38.13,0,N
9,16,0,38.17,0,N
10,18,0,38.13,0,N
11,35,1,38.13,0,N
12,69,1,38.26,0,N
13,17,0,38.17,0,N
14,18,0,38.13,0,N
15,58,0,38.35,0,N
16,89,1,38.17,0,N
17,125,1,38.35,1,I
18,68,1,38.17,0,N
19,49,1,38.08,0,N
20,67,1,38.13,0,N
21,59,1,38.03,0,N
22,50,1,38.13,0,N
23,45,1,38.17,0,N
24,57,1,38.17,0,N
25,54,1,38.13,0,N
26,49,1,38.35,0,N
27,41,1,38.17,0,N
28,70,1,38.13,0,N
29,46,0,38.08,0,N
30,36,1,38.13,0,N
31,24,0,38.13,0,N
32,22,1,38.03,0,N
33,58,1,38.08,0,N
34,25,0,38.17,0,N
35,23,0,38.08,0,N
36,26,0,38.13,0,N
37,30,1,38.26,0,N
38,32,1,38.31,0,N
39,26,1,38.26,0,N
40,30,0,38.35,0,N
41,145,1,38.63,1,I
42,134,1,38.63,2,I
43,145,1,38.67,3,I
44,155,1,38.67,4,II
45,143,1,38.63,5,II
46,138,1,38.58,6,II
47,142,1,38.63,7,II
48,132,1,38.58,8,II
49,114,1,38.67,9,II
50,119,1,38.72,10,O
51,134,1,38.72,11,O
52,129,1,38.67,12,O
53,132,1,38.67,13,O
54,142,0,38.72,14,O
55,138,1,38.67,15,O
56,149,1,38.63,16,O
57,137,1,38.67,17,O
58,142,1,38.67,18,O
59,157,0,38.72,19,O
60,144,0,38.72,20,O
61,150,1,38.63,21,O
62,137,1,38.72,22,O
63,138,1,38.67,23,O
64,121,1,38.63,24,O
65,58,1,38.35,0,N
66,65,1,38.17,0,N
67,78,1,38.35,0,N
68,34,1,38.17,0,N
69,42,1,38.17,0,N
70,54,1,38.24,0,N
71,67,1,38.19,0,N
72,42,1,38.21,0,N
