activity,position,temperature,walking,test
76,0,38.13,0,0
69,0,38.08,0,0
52,0,38.17,0,0
52,0,38.17,0,0
48,0,38.17,0,0
36,1,38.13,0,0
53,1,38.13,0,0
16,0,38.13,0,0
16,0,38.17,0,0
18,0,38.13,0,0
35,1,38.13,0,0
69,1,38.26,0,0
17,0,38.17,0,0
18,0,38.13,0,0
58,0,38.35,0,0
89,1,38.17,0,0
125,1,38.35,1,1
68,1,38.17,0,0
49,1,38.08,0,0
67,1,38.13,0,0
59,1,38.03,0,0
50,1,38.13,0,0
45,1,38.17,0,0
57,1,38.17,0,0
54,1,38.13,0,0
49,1,38.35,0,0
41,1,38.17,0,0
70,1,38.13,0,0
46,0,38.08,0,0
36,1,38.13,0,0
24,0,38.13,0,0
22,1,38.03,0,0
58,1,38.08,0,0
25,0,38.17,0,0
23,0,38.08,0,0
26,0,38.13,0,0
30,1,38.26,0,0
32,1,38.31,0,0
26,1,38.26,0,0
30,0,38.35,0,0
145,1,38.63,1,1
134,1,38.63,2,1
145,1,38.67,3,1
155,1,38.67,4,2
143,1,38.63,5,2
138,1,38.58,6,2
142,1,38.63,7,2
132,1,38.58,8,2
114,1,38.67,9,2
119,1,38.72,10,4
134,1,38.72,11,4
129,1,38.67,12,4
132,1,38.67,13,4
142,0,38.72,14,4
138,1,38.67,15,4
149,1,38.63,16,4
137,1,38.67,17,4
142,1,38.67,18,4
157,0,38.72,19,4
144,0,38.72,20,4
150,1,38.63,21,4
137,1,38.72,22,4
138,1,38.67,23,4
121,1,38.63,24,4
58,1,38.35,0,0
65,1,38.17,0,0
78,1,38.35,0,0
34,1,38.17,0,0
42,1,38.17,0,0
54,1,38.24,0,0
67,1,38.19,0,0
42,1,38.21,0,0
